t,RP,ST,UP,ERP,RRP
0,0,,,,
1,0,,,,
2,0,,,,
3,0,,,,
4,0,,,,
5,0,,,,
6,0,,,,
7,0,,,,
8,0,,,,
9,0,,,,
10,0,,,,
11,0,,,,
12,0,,,,
13,0,,,,
14,0,,,,
15,0,,,,
16,0,,,,
17,0,,,,
18,0,,,,
19,0,,,,
20,0,,,,
21,0,,,,
22,0,,,,
23,0,,,,
24,0,,,,
25,0,,,,
26,0,,,,
27,0,,,,
28,0,,,,
29,0,,,,
30,0,,,,
31,0,,,,
32,0,,,,
33,0,,,,
34,0,,,,
35,0,,,,
36,0,,,,
37,0,,,,
38,0,,,,
39,0,,,,
40,0,,,,
41,0,,,,
42,0,,,,
43,0,,,,
44,0,,,,
45,0,0,,,
46,,19.89853239,,,
47,,29.49272351,,,
48,,35.87500884,,,
49,,40.66471643,,,
50,,44.5,44.5,,
51,,,130.57755,130.57755,
52,,,,129.619315,
53,,,,128.696037,
54,,,,127.806542,
55,,,,126.949692,
56,,,,126.124387,
57,,,,125.329559,
58,,,,124.564174,
59,,,,123.827232,
60,,,,123.117763,
61,,,,122.434825,
62,,,,121.777508,
63,,,,121.14493,
64,,,,120.536234,
65,,,,119.950592,
66,,,,119.387199,
67,,,,118.845277,
68,,,,118.324069,
69,,,,117.822843,
70,,,,117.340889,
71,,,,116.877517,
72,,,,116.43206,
73,,,,116.003869,
74,,,,115.592316,
75,,,,115.196789,
76,,,,114.816697,
77,,,,114.451465,
78,,,,114.100535,
79,,,,113.763366,
80,,,,113.439431,
81,,,,113.128219,
82,,,,112.829234,
83,,,,112.541994,
84,,,,112.26603,
85,,,,112.000886,
86,,,,111.746121,
87,,,,111.501302,
88,,,,111.266012,
89,,,,111.039843,
90,,,,110.822397,
91,,,,110.613289,
92,,,,110.412144,
93,,,,110.218594,
94,,,,110.032283,
95,,,,109.852864,
96,,,,109.679997,
97,,,,109.513351,
98,,,,109.352605,
99,,,,109.197442,
100,,,,109.047557,
101,,,,108.902647,
102,,,,108.762421,
103,,,,108.626591,
104,,,,108.494876,
105,,,,108.367003,
106,,,,108.242701,
107,,,,108.121708,
108,,,,108.003767,
109,,,,107.888623,
110,,,,107.77603,
111,,,,107.665743,
112,,,,107.557523,
113,,,,107.451136,
114,,,,107.346351,
115,,,,107.24294,
116,,,,107.140679,
117,,,,107.039349,
118,,,,106.938732,
119,,,,106.838614,
120,,,,106.738784,
121,,,,106.639033,
122,,,,106.539155,
123,,,,106.438947,
124,,,,106.338206,
125,,,,106.236733,
126,,,,106.134329,
127,,,,106.0308,
128,,,,105.92595,
129,,,,105.819587,
130,,,,105.711517,
131,,,,105.60155,
132,,,,105.489496,
133,,,,105.375167,
134,,,,105.258373,
135,,,,105.138927,
136,,,,105.016642,
137,,,,104.89133,
138,,,,104.762804,
139,,,,104.630879,
140,,,,104.495366,
141,,,,104.356078,
142,,,,104.212829,
143,,,,104.06543,
144,,,,103.913694,
145,,,,103.757431,
146,,,,103.596451,
147,,,,103.430563,
148,,,,103.259577,
149,,,,103.083299,
150,,,,102.901535,
151,,,,102.714091,
152,,,,102.520769,
153,,,,102.321371,
154,,,,102.115697,
155,,,,101.903545,
156,,,,101.684713,
157,,,,101.458994,
158,,,,101.226181,
159,,,,100.986064,
160,,,,100.73843,
161,,,,100.483066,
162,,,,100.219755,
163,,,,99.948276,
164,,,,99.668407,
165,,,,99.379924,
166,,,,99.082598,
167,,,,98.776197,
168,,,,98.460487,
169,,,,98.135231,
170,,,,97.800188,
171,,,,97.455112,
172,,,,97.099756,
173,,,,96.733867,
174,,,,96.357191,
175,,,,95.969467,
176,,,,95.570431,
177,,,,95.159815,
178,,,,94.737347,
179,,,,94.30275,
180,,,,93.855743,
181,,,,93.396039,
182,,,,92.923348,
183,,,,92.437374,
184,,,,91.937816,
185,,,,91.424368,
186,,,,90.896719,
187,,,,90.354551,
188,,,,89.797543,
189,,,,89.225366,
190,,,,88.637686,
191,,,,88.034163,
192,,,,87.414451,
193,,,,86.778197,
194,,,,86.125043,
195,,,,85.454623,
196,,,,84.766564,
197,,,,84.060488,
198,,,,83.336008,
199,,,,82.592731,
200,,,,81.830256,
201,,,,81.048174,
202,,,,80.246071,
203,,,,79.423521,
