Time,Right Atrium,Right Ventricle
0,0.125,0.126
0.01,0.125,0.126
0.02,0.125,0.126
0.03,0.125,0.126
0.04,0.125,0
0.05,0.125,0
0.06,0.125,0
0.07,0.125,0
0.08,0,0
0.09,0.125,0
0.1,62.311,0.126
0.11,62.688,0
0.12,59.799,0
0.13,0.125,0
0.14,0.125,0
0.15,0.125,0
0.16,0.125,0
0.17,0.125,0
0.18,0.125,0
0.19,0.125,0
0.2,0,0
0.21,0.125,0
0.22,0.125,0
0.23,0.125,0.126
0.24,0.125,0
0.25,0.125,0
0.26,0.125,0
0.27,0.125,0.126
0.28,0.125,0
0.29,0.125,0.126
0.3,0.125,0.126
0.31,0.125,0
0.32,0.125,63.065
0.33,0.125,60.176
0.34,0,0.126
0.35,0.125,0.126
0.36,0,0
0.37,0,0
0.38,0.125,0
0.39,0.125,0.251
0.4,0.125,0.879
0.41,0.125,1.131
0.42,0.125,1.382
0.43,0.125,1.382
0.44,0,1.507
0.45,0.125,1.507
0.46,0,1.382
0.47,0.125,1.382
0.48,0.125,1.256
0.49,0,1.256
0.5,0,1.131
0.51,0.125,1.005
0.52,0,0.754
0.53,0.125,0.377
0.54,0.125,0.126
0.55,0.125,0.126
0.56,0.125,0.126
0.57,0.125,0.126
0.58,0.125,0.126
0.59,0.125,0.126
0.6,0.125,0.126
0.61,0.125,0.126
0.62,0.125,0.126
0.63,0,0.126
0.64,0,0.126
0.65,0.125,0.126
0.66,0.125,0.126
0.67,0.125,0
0.68,0.125,0
0.69,0.125,0.126
0.7,19.849,0.126
0.71,63.065,0.126
0.72,60.175,0.126
0.73,0.125,0
0.74,0.125,0
0.75,0.125,0.126
0.76,0.125,0.126
0.77,0.125,0.126
0.78,0.125,0.126
0.79,0.125,0.126
0.8,0.125,0
0.81,0.125,0
0.82,0.125,0
0.83,0.125,0
0.84,0.125,0
0.85,0.125,0.126
0.86,0.125,0
0.87,0.125,0.126
0.88,0.125,0.126
0.89,0.125,0
0.9,0.125,0.126
0.91,0.125,0.126
0.92,0.125,63.442
0.93,0.125,60.427
0.94,0.125,0.251
0.95,0.125,0.126
0.96,0.125,0
0.97,0.125,0.126
0.98,0.125,0.126
0.99,0.125,0.126
1,0.125,0.879
1.01,0.125,1.256
1.02,0.125,1.256
1.03,0.125,1.382
1.04,0.125,1.507
1.05,0.125,1.507
1.06,0.125,1.382
1.07,0.125,1.382
1.08,0.125,1.382
1.09,0.125,1.256
1.1,0.125,1.131
1.11,0.125,0.879
1.12,0.125,0.754
1.13,0.125,0.377
1.14,0.125,0.126
1.15,0,0.126
1.16,0.125,0.126
1.17,0.125,0
1.18,0.125,0.126
1.19,0.125,0.126
1.2,0.125,0
1.21,0.125,0.126
1.22,0.125,0.126
1.23,0.125,0.126
1.24,0.125,0.126
1.25,0.125,0
1.26,0.125,0.126
1.27,0.125,0.126
1.28,0.125,0.126
1.29,0.125,0.126
1.3,19.723,0.126
1.31,63.442,0.126
1.32,60.427,0.126
1.33,0.251,0.126
1.34,0.125,0.126
1.35,0.125,0
1.36,0.125,0
1.37,0.125,0.126
1.38,0.125,0.126
1.39,0.125,0.126
1.4,0.125,0.126
1.41,0.125,0.126
1.42,0.125,0.126
1.43,0.125,0.126
1.44,0.125,0
