Time,Right Atrium,Right Ventricle
0,0.125,0.126
0.01,64.196,0.126
0.02,60.804,0
0.03,0.251,0
0.04,0.125,0
0.05,0.125,0.126
0.06,0,0
0.07,0.125,0.126
0.08,0,0
0.09,0.125,0.126
0.1,0.125,0
0.11,0.125,0.126
0.12,0.125,0
0.13,0.125,0.126
0.14,0,0
0.15,0.125,0.126
0.16,0,0
0.17,0.125,0.126
0.18,0,0
0.19,0.125,0.126
0.2,0.125,0
0.21,0,0
0.22,0,63.945
0.23,0,61.181
0.24,0,36.432
0.25,0,0
0.26,0,0
0.27,0.125,0
0.28,0,0
0.29,0.125,0.126
0.3,0.125,0.754
0.31,0.125,1.257
0.32,0,1.382
0.33,0.125,1.382
0.34,0,1.508
0.35,0,1.508
0.36,0,1.508
0.37,0,1.508
0.38,0,1.257
0.39,0,1.257
0.4,0,1.131
0.41,0,1.131
0.42,0,0.754
0.43,0.125,0.377
0.44,0,0.126
0.45,0,0
0.46,0,0
0.47,0.125,0.126
0.48,0,0
0.49,0,0.126
0.5,0,0
0.51,0,0.126
0.52,0,0
0.53,0.125,0.126
0.54,0,0
0.55,0.125,0
0.56,0,0.126
0.57,0.125,0.126
0.58,0,0
0.59,0.125,0.126
0.6,0,0
0.61,64.447,0.126
0.62,60.929,0
0.63,0.376,0
0.64,0.125,0.126
0.65,0.125,0.126
0.66,0,0
0.67,0.125,0.126
0.68,0,0.126
0.69,0.125,0.126
0.7,0,0.126
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0.126
0.76,0,0
0.77,0.125,0.126
0.78,0,0.126
0.79,0.125,0.126
0.8,0,0.126
0.81,0.125,0.126
0.82,0.125,64.573
0.83,0.125,61.558
0.84,0.125,36.684
0.85,0.125,0.252
0.86,0,0.126
0.87,0.125,0.126
0.88,0,0.126
0.89,0.125,0.252
0.9,0,0.754
0.91,0.125,1.257
0.92,0.125,1.382
0.93,0.125,1.382
0.94,0.125,1.508
0.95,0.125,1.508
0.96,0.125,1.508
0.97,0.125,1.508
0.98,0,1.382
0.99,0.125,1.382
1,0,1.131
1.01,0.125,1.131
1.02,0.125,0.754
1.03,0.125,0.503
1.04,0.125,0.126
1.05,0.125,0.126
1.06,0.125,0
1.07,0.125,0.126
1.08,0.125,0
1.09,0.125,0
1.1,0,0
1.11,0.125,0.126
1.12,0,0
1.13,0.125,0.126
1.14,0,0
1.15,0.125,0.126
1.16,0,0
1.17,0.125,0.126
1.18,0.125,0
1.19,0,0
1.2,0,0
1.21,0.125,0.126
1.22,0,0
1.23,0.125,0.126
1.24,0,0.126
1.25,0.125,0.126
1.26,0,0
1.27,0.125,0.126
1.28,0,0
1.29,0.125,0.126
1.3,0,0
1.31,0,0.126
1.32,0,0.126
1.33,0.125,0
1.34,0.125,0
1.35,0.125,0
1.36,-96.356,0
1.37,-74.497,0
1.38,-59.045,0
1.39,0.125,0.126
1.4,0.125,0
1.41,0.125,0
1.42,0,0
1.43,0.125,0.126
1.44,0,0
1.45,0.125,0.126
1.46,0.125,0
1.47,0.125,0
1.48,0.125,0
1.49,0.125,0
1.5,0.125,0
1.51,0.125,0
1.52,0.125,0
1.53,0.125,0
1.54,0.125,0
1.55,0.125,0.126
1.56,0.125,0
1.57,0.125,0
1.58,-0.126,-305.151
1.59,0.125,-115.453
1.6,0,-59.422
1.61,0.125,0.126
1.62,0,0
1.63,0.125,0.126
1.64,0,0
1.65,0.125,0.126
1.66,0.125,0.503
1.67,0.125,1.005
1.68,0.125,1.257
1.69,0.125,1.382
1.7,0.125,1.508
1.71,0.125,1.633
1.72,0.125,1.508
1.73,0,1.508
1.74,0.125,1.382
1.75,0.125,1.382
1.76,0,1.257
1.77,0.125,1.131
1.78,0.125,0.88
1.79,0.125,0.628
1.8,0,0.252
1.81,0.125,0.126
1.82,0.125,0.126
1.83,0,0.126
1.84,0.125,0.126
1.85,0.125,0.126
1.86,0,0
1.87,0.125,0.126
1.88,0,0.126
1.89,0.125,0.126
1.9,0,0.126
1.91,0,0.126
1.92,0,0
1.93,0.125,0.126
1.94,0.125,0
1.95,0.125,0.126
1.96,0.125,0.126
1.97,0.125,0.126
1.98,0,0.126
1.99,0.125,0.252
2,0,0
2.01,0.125,0.126
2.02,0.125,0.126
2.03,0,0.252
2.04,0,0.126
2.05,0.125,0.252
2.06,0,0.126
2.07,0,0.252
2.08,0,0.126
2.09,0,0.126
2.1,0,0.126
2.11,-112.814,0.126
2.12,-77.763,0.126
2.13,-59.045,0.126
2.14,0.125,0.126
2.15,0.125,0.126
2.16,0.125,0
2.17,0.125,0.126
2.18,0,0
2.19,0.125,0
2.2,0,0.126
2.21,0.125,0.126
2.22,0,0
2.23,0.125,0.126
2.24,0.125,0
2.25,0.125,0.126
2.26,0,0
2.27,0.125,0.126
2.28,0,0.126
2.29,0.125,0.126
2.3,0.125,0.126
2.31,0.125,0.126
2.32,0.125,0
2.33,0,-315.578
2.34,0.125,-117.086
2.35,0.125,-59.422
2.36,0,0.126
2.37,0.125,0.126
2.38,0.125,0.126
2.39,0.125,0.126
2.4,0,0.126
2.41,0,0.628
2.42,0,1.005
2.43,0.125,1.257
2.44,0,1.382
2.45,0.125,1.508
2.46,0,1.633
2.47,0.125,1.633
2.48,0,1.508
2.49,0.125,1.508
2.5,0.125,1.382
2.51,0.125,1.257
2.52,0.125,1.131
2.53,0.125,1.005
2.54,0.125,0.628
2.55,0.125,0.503
2.56,0,0.252
2.57,0.125,0.126
2.58,0.125,0
2.59,0.125,0.126
2.6,0,0
2.61,0.125,0.126
2.62,0.125,0.126
2.63,0.125,0.126
2.64,0,0
2.65,0.125,0.126
2.66,0.125,0
2.67,0.125,0.252
2.68,0,0.126
2.69,0.125,0.126
2.7,0.125,0.126
2.71,0.125,0.126
2.72,0.125,0.126
2.73,0.125,0.252
2.74,0.125,0.126
2.75,0.125,0.126
2.76,0.125,0.126
2.77,0,0.126
2.78,0,0.126
2.79,0.125,0.126
2.8,0.125,0.126
2.81,0.125,0.252
2.82,0.125,0.126
2.83,0.125,0.126
2.84,0,0.126
2.85,0.125,0.252
2.86,-114.572,0.126
2.87,-78.266,0.252
2.88,-59.045,0.126
2.89,0.125,0.126
2.9,0.125,0.126
2.91,0.125,0.126
2.92,0.125,0.126
2.93,0.125,0.252
2.94,0.125,0.126
2.95,0.125,0.126
2.96,0.125,0
2.97,0.125,0
2.98,0.125,0.126
2.99,0.125,0.126
3,0.125,0.126
